pc,clk_counter,instr,instr_names,instr_strings,Core__TRAP,Core__BRANCH,Core__JAL,Core__JALR,Core__AUIPC,Core__LOAD,Core__STORE,Core__SERIAL_SHIFT,Core__LOAD_WAIT,Core__STORE_WAIT,Core__F_BUSY_NO_CONSUME,Core__1_BUSY_NO_CONSUME,Core__2_BUSY_NO_CONSUME,Core__INTERRUPT,L1I__LD,L1I__LD_MISS,L1I__LD_MISS_LAT,L1I__TLB,L1D__LD,L1D__LD_MISS,L1D__LD_MISS_LAT,L1D__ST,L1D__TLB,TGC__READ,TGC__READ_MISS,AXI4_Slave__AW_FLIT,AXI4_Slave__W_FLIT,AXI4_Slave__W_FLIT_FINAL,AXI4_Slave__B_FLIT,AXI4_Slave__AR_FLIT,AXI4_Slave__R_FLIT,AXI4_Slave__R_FLIT_FINAL,AXI4_Master__AW_FLIT,AXI4_Master__W_FLIT,AXI4_Master__W_FLIT_FINAL,AXI4_Master__B_FLIT,AXI4_Master__AR_FLIT,AXI4_Master__R_FLIT,AXI4_Master__R_FLIT_FINAL
    1010,316,00028067,JALR,"jalr x0, x5, 0",0,0,0,0,1,1,0,0,21,0,21,24,0,0,9,1,21,9,1,1,21,0,1,0,0,0,0,0,0,1,8,1,0,0,0,0,1,8,1
80000000,35,F14022F3,UNKNOWN,"Cannot decode f14022f3, invalid instruction",0,0,0,1,0,0,0,0,0,0,27,0,0,0,6,1,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000004,1,02029063,BNE,"bne x5, x0, .+32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000008,1,00001117,AUIPC,"auipc x2, 1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000010,2,5DC0006F,JAL,"jal x0, .+1500",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800005EC,35,FF010113,ADDI,"addi x2, x2, -16",0,0,1,0,0,0,0,0,0,0,31,0,0,0,4,1,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800005FC,35,D29FF0EF,JAL,"jal x1, .-728",0,0,0,0,0,0,2,0,0,2,31,0,2,0,2,1,31,3,0,0,0,2,2,1,1,2,2,2,0,0,0,0,1,1,1,0,1,0,0
80000324,48,F8010113,ADDI,"addi x2, x2, -128",0,0,1,0,0,0,0,0,0,0,44,0,0,0,4,1,44,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,4,1
80000328,1,06113C23,UNKNOWN,"Cannot decode 06113c23, invalid instruction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000338,41,0280006F,JAL,"jal x0, .+40",0,0,0,0,0,0,3,0,0,3,35,0,3,0,3,1,35,4,0,0,0,2,3,3,0,3,3,3,2,0,0,0,3,3,3,2,0,0,0
80000360,4,FEC42783,LW,"lw x15, -20(x8)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000036C,44,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,1,0,0,40,0,0,41,0,0,2,0,0,3,0,1,40,0,1,1,0,0,0,0,2,1,8,1,0,0,0,2,1,8,1
8000033C,4,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000304,4,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,59,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,50,2,0,0,52,0,7,0,0,7,1,1,50,2,3,3,0,2,2,2,2,1,8,1,2,2,2,2,1,8,1
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,5,0,0,6,1,0,0,1,3,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
8000033C,4,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,0,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,6,0,0,6,1,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
8000033C,1,F8840713,ADDI,"addi x14, x8, -120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000350,6,FB5FF0EF,JAL,"jal x1, .-76",0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80000304,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80000320,9,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,0,1,2,0,0,2,0,0,2,0,7,0,0,7,1,0,0,2,3,1,0,2,2,2,0,0,0,0,1,1,1,1,0,0,0
80000354,1,FEC42783,LW,"lw x15, -20(x8)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8000036C,9,FCE7F8E3,BGEU,"bgeu x15, x14, .-48",0,0,0,0,0,2,1,0,0,1,0,2,1,0,5,0,0,6,1,0,0,1,3,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
80000370,4,00000797,AUIPC,"auipc x15, 0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
8000038C,38,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,1,2,1,0,0,1,31,0,1,0,6,1,31,7,2,0,0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
80000600,4,D91FF0EF,JAL,"jal x1, .-624",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80000390,4,ED010113,ADDI,"addi x2, x2, -304",0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000394,1,12113423,UNKNOWN,"Cannot decode 12113423, invalid instruction",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800003A8,7,D5DFF0EF,JAL,"jal x1, .-676",0,0,0,0,1,0,2,0,0,2,0,0,2,0,4,0,0,5,0,0,0,1,2,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000104,44,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,40,0,0,0,4,1,40,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,2,0,0,0
80000118,8,01C0006F,JAL,"jal x0, .+28",0,0,0,0,0,0,3,0,0,3,0,0,3,0,4,0,0,5,0,0,0,3,3,1,0,2,2,2,1,0,0,0,1,1,1,1,0,0,0
80000134,4,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0
8000013C,120,FE0790E3,BNE,"bne x15, x0, .-32",0,0,0,0,0,2,0,0,116,0,34,118,0,0,1,1,34,2,1,2,116,0,2,3,0,0,0,0,5,2,16,2,1,1,1,5,2,16,2
8000011C,4,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000130,8,F09FF0EF,JAL,"jal x1, .-248",0,0,0,0,0,2,1,0,0,1,0,2,1,0,4,0,0,5,1,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80000038,4,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
80000074,98,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,1,3,3,0,42,4,35,44,3,0,16,1,36,15,3,1,42,3,6,3,0,3,3,3,3,1,8,1,3,3,3,3,1,8,1
80000134,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000013C,4,FE0790E3,BNE,"bne x15, x0, .-32",0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8000011C,4,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000130,8,F09FF0EF,JAL,"jal x1, .-248",0,0,0,0,0,2,1,0,0,1,0,2,1,0,5,0,0,5,1,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80000038,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
80000074,21,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,1,3,3,0,0,4,0,2,4,0,15,0,0,15,3,0,0,3,6,3,0,3,3,3,1,0,0,0,3,3,3,1,0,0,0
80000134,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8000013C,4,FE0790E3,BNE,"bne x15, x0, .-32",0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
8000011C,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000130,8,F09FF0EF,JAL,"jal x1, .-248",0,0,0,0,0,2,1,0,0,1,0,2,1,0,5,0,0,5,1,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
80000038,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
80000074,21,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,1,3,3,0,0,4,0,2,4,0,15,0,0,15,3,0,0,3,6,3,0,3,3,3,1,0,0,0,3,3,3,1,0,0,0
80000134,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8000013C,4,FE0790E3,BNE,"bne x15, x0, .-32",0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
8000011C,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000130,8,F09FF0EF,JAL,"jal x1, .-248",0,0,0,0,0,2,1,0,0,1,0,2,1,0,5,0,0,5,1,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
80000038,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
80000074,21,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,1,3,3,0,0,4,0,2,4,0,15,0,0,15,3,0,0,3,6,3,0,3,3,3,1,0,0,0,3,3,3,1,0,0,0
80000134,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8000013C,4,FE0790E3,BNE,"bne x15, x0, .-32",0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
8000011C,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000130,8,F09FF0EF,JAL,"jal x1, .-248",0,0,0,0,0,2,1,0,0,1,0,2,1,0,5,0,0,5,1,0,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
80000038,1,FE010113,ADDI,"addi x2, x2, -32",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
80000074,21,00008067,JALR,"jalr x0, x1, 0",0,0,0,0,1,3,3,0,0,4,0,2,4,0,15,0,0,15,3,0,0,3,6,3,0,3,3,3,1,0,0,0,3,3,3,1,0,0,0
80000134,1,FE843783,UNKNOWN,"Cannot decode fe843783, invalid instruction",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8000013C,4,FE0790E3,BNE,"bne x15, x0, .-32",0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
